Feature,Category,Passengers,Survivors,SurvivalRate
Sex,female,314,233,74.2
Sex,male,577,109,18.89
Pclass,1,216,136,62.96
Pclass,2,184,87,47.28
Pclass,3,491,119,24.24
AgeGroup,Child,85,45,52.94
AgeGroup,Teen,59,25,42.37
AgeGroup,Young Adult,471,166,35.24
AgeGroup,Adult,247,99,40.08
AgeGroup,Senior,29,7,24.14
FareQuartile,Q1 Lowest,223,44,19.73
FareQuartile,Q2,224,68,30.36
FareQuartile,Q3,222,101,45.5
FareQuartile,Q4 Highest,222,129,58.11
Embarked,C,168,93,55.36
Embarked,Q,77,30,38.96
Embarked,S,646,219,33.9
