PassengerId,Survived,Pclass,Sex,Age,AgeGroup,Fare,Embarked,FamilySize,IsAlone,Title,CabinKnown,TicketGroupSize,FarePerPerson
1,0,3,male,22.0,Young Adult,7.25,S,2,0,Mr,0,1,7.25
2,1,1,female,38.0,Adult,71.2833,C,2,0,Mrs,1,2,35.64165
3,1,3,female,26.0,Young Adult,7.925,S,1,1,Miss,0,1,7.925
4,1,1,female,35.0,Adult,53.1,S,2,0,Mrs,1,2,26.55
5,0,3,male,35.0,Adult,8.05,S,1,1,Mr,0,1,8.05
6,0,3,male,27.0,Young Adult,8.4583,Q,1,1,Mr,0,1,8.4583
7,0,1,male,54.0,Adult,51.8625,S,1,1,Mr,1,2,25.93125
8,0,3,male,2.0,Child,21.075,S,5,0,Master,0,5,4.215
9,1,3,female,27.0,Young Adult,11.1333,S,3,0,Mrs,0,3,3.7111
10,1,2,female,14.0,Teen,30.0708,C,2,0,Mrs,0,2,15.0354
11,1,3,female,4.0,Child,16.7,S,3,0,Miss,1,3,5.566666666666666
12,1,1,female,58.0,Adult,26.55,S,1,1,Miss,1,1,26.55
13,0,3,male,20.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
14,0,3,male,39.0,Adult,31.275,S,7,0,Mr,0,7,4.4678571428571425
15,0,3,female,14.0,Teen,7.8542,S,1,1,Miss,0,1,7.8542
16,1,2,female,55.0,Adult,16.0,S,1,1,Mrs,0,1,16.0
17,0,3,male,2.0,Child,29.125,Q,6,0,Master,0,6,4.854166666666667
18,1,2,male,54.0,Adult,13.0,S,1,1,Mr,0,1,13.0
19,0,3,female,31.0,Young Adult,18.0,S,2,0,Mrs,0,2,9.0
20,1,3,female,20.0,Young Adult,7.225,C,1,1,Mrs,0,1,7.225
21,0,2,male,35.0,Adult,26.0,S,1,1,Mr,0,2,13.0
22,1,2,male,34.0,Young Adult,13.0,S,1,1,Mr,1,1,13.0
23,1,3,female,15.0,Teen,8.0292,Q,1,1,Miss,0,1,8.0292
24,1,1,male,28.0,Young Adult,35.5,S,1,1,Mr,1,1,35.5
25,0,3,female,8.0,Child,21.075,S,5,0,Miss,0,5,4.215
26,1,3,female,38.0,Adult,31.3875,S,7,0,Mrs,0,7,4.483928571428572
27,0,3,male,38.0,Adult,7.225,C,1,1,Mr,0,1,7.225
28,0,1,male,19.0,Young Adult,263.0,S,6,0,Mr,1,6,43.833333333333336
29,1,3,female,18.0,Young Adult,7.8792,Q,1,1,Miss,0,1,7.8792
30,0,3,male,17.0,Teen,7.8958,S,1,1,Mr,0,1,7.8958
31,0,1,male,40.0,Adult,27.7208,C,1,1,Rare,0,1,27.7208
32,1,1,female,33.0,Young Adult,146.5208,C,2,0,Mrs,1,3,48.84026666666667
33,1,3,female,45.0,Adult,7.75,Q,1,1,Miss,0,1,7.75
34,0,2,male,66.0,Senior,10.5,S,1,1,Mr,0,1,10.5
35,0,1,male,28.0,Young Adult,82.1708,C,2,0,Mr,0,2,41.0854
36,0,1,male,42.0,Adult,52.0,S,2,0,Mr,0,2,26.0
37,1,3,male,19.0,Young Adult,7.2292,C,1,1,Mr,0,1,7.2292
38,0,3,male,21.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
39,0,3,female,18.0,Young Adult,18.0,S,3,0,Miss,0,2,9.0
40,1,3,female,14.0,Teen,11.2417,C,2,0,Miss,0,2,5.62085
41,0,3,female,40.0,Adult,9.475,S,2,0,Mrs,0,1,9.475
42,0,2,female,27.0,Young Adult,21.0,S,2,0,Mrs,0,2,10.5
43,0,3,male,33.0,Young Adult,7.8958,C,1,1,Mr,0,1,7.8958
44,1,2,female,3.0,Child,41.5792,C,4,0,Miss,0,4,10.3948
45,1,3,female,19.0,Young Adult,7.8792,Q,1,1,Miss,0,1,7.8792
46,0,3,male,29.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
47,0,3,male,1.0,Child,15.5,Q,2,0,Mr,0,2,7.75
48,1,3,female,27.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
49,0,3,male,32.0,Young Adult,21.6792,C,3,0,Mr,0,3,7.226400000000001
50,0,3,female,18.0,Young Adult,17.8,S,2,0,Mrs,0,2,8.9
