task_id,title,category,priority,status,created_date,due_date,estimated_hours,completion_days
1,Sample Task 01,Research,Medium,In Progress,2026-08-03,2026-08-18,1.2,
2,Sample Task 02,Career,Low,Completed,2026-08-16,2026-08-30,3.9,14.0
3,Sample Task 03,Career,High,Completed,2026-08-16,2026-08-28,3.8,6.0
4,Sample Task 04,Personal,High,Completed,2026-08-14,2026-08-17,5.2,4.0
5,Sample Task 05,Coursework,High,In Progress,2026-08-05,2026-08-22,6.3,
6,Sample Task 06,Research,Low,In Progress,2026-08-23,2026-08-25,5.6,
7,Sample Task 07,Research,Medium,Completed,2026-08-28,2026-09-04,4.0,11.0
8,Sample Task 08,Career,Low,To Do,2026-08-24,2026-09-02,5.5,
9,Sample Task 09,Career,Medium,Completed,2026-08-29,2026-09-11,6.7,7.0
10,Sample Task 10,Personal,Medium,In Progress,2026-08-14,2026-08-20,1.5,
11,Sample Task 11,Career,Medium,To Do,2026-08-25,2026-09-08,5.8,
12,Sample Task 12,Research,Low,In Progress,2026-08-09,2026-08-20,1.4,
13,Sample Task 13,Personal,High,In Progress,2026-08-14,2026-08-25,5.3,
14,Sample Task 14,Career,Low,Completed,2026-08-17,2026-08-23,3.8,8.0
15,Sample Task 15,Personal,Low,In Progress,2026-08-30,2026-09-14,0.9,
16,Sample Task 16,Research,Medium,In Progress,2026-08-26,2026-09-07,6.4,
17,Sample Task 17,Research,Low,In Progress,2026-08-30,2026-09-14,0.7,
18,Sample Task 18,Career,Low,Completed,2026-08-04,2026-08-13,4.3,2.0
19,Sample Task 19,Research,Medium,Completed,2026-08-29,2026-09-07,2.8,3.0
20,Sample Task 20,Personal,Low,In Progress,2026-08-21,2026-08-24,7.7,
21,Sample Task 21,Research,High,Completed,2026-08-11,2026-08-17,6.3,13.0
22,Sample Task 22,Career,Low,In Progress,2026-08-08,2026-08-14,7.3,
23,Sample Task 23,Career,Medium,To Do,2026-08-04,2026-08-10,1.8,
24,Sample Task 24,Research,Medium,Completed,2026-08-14,2026-08-27,5.2,12.0
25,Sample Task 25,Career,Medium,Completed,2026-08-05,2026-08-08,0.8,9.0
26,Sample Task 26,Career,Low,In Progress,2026-08-06,2026-08-10,4.9,
27,Sample Task 27,Personal,Medium,Completed,2026-08-24,2026-09-04,4.9,3.0
28,Sample Task 28,Research,High,Completed,2026-08-09,2026-08-18,1.1,1.0
29,Sample Task 29,Research,Medium,In Progress,2026-08-09,2026-08-26,4.1,
30,Sample Task 30,Research,Medium,In Progress,2026-08-25,2026-09-04,0.7,
31,Sample Task 31,Research,Medium,Completed,2026-08-11,2026-08-15,1.3,12.0
32,Sample Task 32,Coding,High,In Progress,2026-08-20,2026-09-01,6.3,
33,Sample Task 33,Personal,Low,Completed,2026-08-10,2026-08-15,4.7,2.0
34,Sample Task 34,Research,Medium,Completed,2026-08-17,2026-08-31,7.6,6.0
35,Sample Task 35,Personal,High,In Progress,2026-08-20,2026-08-26,1.7,
36,Sample Task 36,Personal,High,In Progress,2026-08-16,2026-09-02,6.1,
37,Sample Task 37,Coursework,Medium,Completed,2026-08-26,2026-09-05,6.3,13.0
38,Sample Task 38,Personal,High,In Progress,2026-08-11,2026-08-14,2.5,
39,Sample Task 39,Coursework,High,To Do,2026-08-01,2026-08-04,1.6,
40,Sample Task 40,Career,Low,Completed,2026-08-23,2026-09-07,2.8,3.0
41,Sample Task 41,Research,Low,Completed,2026-08-30,2026-09-09,0.6,11.0
42,Sample Task 42,Coursework,Low,To Do,2026-08-06,2026-08-18,4.3,
43,Sample Task 43,Research,High,Completed,2026-08-28,2026-09-02,5.9,10.0
44,Sample Task 44,Research,High,To Do,2026-08-03,2026-08-06,3.5,
45,Sample Task 45,Research,High,In Progress,2026-08-30,2026-09-11,2.6,
46,Sample Task 46,Research,Medium,To Do,2026-08-29,2026-09-08,1.3,
47,Sample Task 47,Coursework,Medium,In Progress,2026-08-22,2026-09-08,7.5,
48,Sample Task 48,Career,Low,In Progress,2026-08-23,2026-09-06,1.3,
49,Sample Task 49,Research,Medium,Completed,2026-08-09,2026-08-14,5.0,12.0
50,Sample Task 50,Coding,Medium,Completed,2026-08-28,2026-09-05,3.7,13.0
51,Sample Task 51,Coding,Low,Completed,2026-08-04,2026-08-13,2.3,10.0
52,Sample Task 52,Personal,Low,Completed,2026-08-30,2026-09-02,5.0,11.0
53,Sample Task 53,Coding,Low,Completed,2026-08-11,2026-08-17,7.4,3.0
54,Sample Task 54,Research,Low,In Progress,2026-08-18,2026-08-22,0.7,
55,Sample Task 55,Personal,Medium,To Do,2026-08-22,2026-08-24,5.6,
56,Sample Task 56,Personal,High,In Progress,2026-08-25,2026-09-04,6.9,
57,Sample Task 57,Personal,Low,To Do,2026-08-17,2026-08-22,4.8,
58,Sample Task 58,Coursework,Medium,To Do,2026-08-29,2026-09-05,1.3,
59,Sample Task 59,Research,Low,To Do,2026-08-03,2026-08-19,6.8,
60,Sample Task 60,Coding,High,Completed,2026-08-25,2026-09-08,5.3,13.0
