antecedent,consequent,support,confidence,lift,count
specialty chocolate,citrus fruit,0.001403461872619127,0.08786610878661087,1.6537617431120233,21
flour,tropical fruit,0.0010693042839002875,0.1095890410958904,1.6171408500175624,16
beverages,sausage,0.0015371249081066632,0.09274193548387097,1.536763655199514,23
napkins,pastry,0.0017376194613379669,0.07854984894259819,1.5185289272972826,26
processed cheese,root vegetables,0.0010693042839002875,0.10526315789473684,1.5130188583851558,16
hard cheese,pip fruit,0.0010693042839002875,0.07272727272727272,1.4825860787713647,16
soft cheese,yogurt,0.0012697988371315912,0.12666666666666668,1.474952010376135,19
curd,sausage,0.0029405867807257902,0.0873015873015873,1.4466153386419165,44
detergent,yogurt,0.0010693042839002875,0.12403100775193798,1.4442614544686756,16
sugar,bottled water,0.0014702933903628951,0.0830188679245283,1.368074141800349,22
white bread,canned beer,0.0015371249081066632,0.06406685236768803,1.3655730939853503,23
canned beer,brown bread,0.0024059346387756467,0.05128205128205128,1.3629366489046775,36
brown bread,canned beer,0.0024059346387756467,0.06394316163410302,1.3629366489046773,36
chewing gum,yogurt,0.001403461872619127,0.11666666666666667,1.358508430609598,21
sliced cheese,sausage,0.0011361358016440553,0.08095238095238096,1.34140695037705,17
processed cheese,rolls/buns,0.0014702933903628951,0.14473684210526316,1.315733516659206,22
candy,citrus fruit,0.0010024727661565194,0.06976744186046512,1.3131197893813076,15
packaged fruit/vegetables,rolls/buns,0.0012029673193878234,0.14173228346456693,1.2884205087972753,18
seasonal products,rolls/buns,0.0010024727661565194,0.14150943396226415,1.2863946903872165,15
frozen meals,sausage,0.0012697988371315912,0.07569721115537849,1.2543270991339184,19
herbs,yogurt,0.0011361358016440553,0.10759493670886076,1.2528739595133724,17
cat food,tropical fruit,0.0010024727661565194,0.0847457627118644,1.2505432420686657,15
oil,soda,0.001804450979081735,0.1210762331838565,1.2468435492980352,27
specialty chocolate,tropical fruit,0.0013366303548753592,0.08368200836820083,1.2348460465615279,20
sliced cheese,root vegetables,0.0012029673193878234,0.08571428571428572,1.2320296418279126,18
grapes,sausage,0.0010693042839002875,0.07407407407407407,1.2274311964234443,16
frozen vegetables,sausage,0.0020717770500568067,0.07398568019093078,1.2259664813919129,31
bottled beer,sausage,0.003341575887188398,0.07374631268436578,1.2220000849348451,50
sausage,bottled beer,0.003341575887188398,0.05537098560354374,1.2220000849348451,50
onions,whipped/sour cream,0.0010693042839002875,0.052805280528052806,1.208142832631887,16
butter milk,shopping bags,0.0010024727661565194,0.057034220532319393,1.1985997778442348,15
napkins,citrus fruit,0.001403461872619127,0.0634441087613293,1.1941059111896482,21
beverages,soda,0.001871282496825503,0.11290322580645161,1.1626778855760052,28
red/blush wine,rolls/buns,0.0013366303548753592,0.12738853503184713,1.158028341240297,20
chocolate,pip fruit,0.0013366303548753592,0.056657223796033995,1.1549891548502134,20
meat,root vegetables,0.0013366303548753592,0.07936507936507936,1.1407681868776969,20
salty snack,canned beer,0.0010024727661565194,0.05338078291814947,1.137801502570186,15
misc. beverages,sausage,0.0010693042839002875,0.06779661016949153,1.1234116035062034,16
frankfurter,other vegetables,0.005146026866270133,0.13628318584070798,1.1161495948191098,77
semi-finished bread,whole milk,0.001670787943594199,0.176056338028169,1.1148247930239072,25
sausage,yogurt,0.005747510525964045,0.09523809523809523,1.1089864739670185,86
yogurt,sausage,0.005747510525964045,0.0669260700389105,1.1089864739670185,86
frozen vegetables,bottled beer,0.001403461872619127,0.050119331742243436,1.1060996472849387,21
frozen vegetables,root vegetables,0.002138608567800575,0.07637231503579953,1.0977511526231203,32
chocolate,rolls/buns,0.002806923745238254,0.11898016997167139,1.0815919096513482,42
frozen vegetables,citrus fruit,0.001603956425850431,0.057279236276849645,1.0780744810194984,24
dessert,shopping bags,0.0012029673193878234,0.05099150141643059,1.0716093197950154,18
cream cheese ,shopping bags,0.0012029673193878234,0.05084745762711865,1.068582174823843,18
grapes,root vegetables,0.0010693042839002875,0.07407407407407407,1.0647169744191838,16
