item,count,support
whole milk,2363,0.15792287642852368
other vegetables,1827,0.12210118291786407
rolls/buns,1646,0.11000467820624206
soda,1453,0.09710619528169484
yogurt,1285,0.08587850030074183
root vegetables,1041,0.06957160997126245
tropical fruit,1014,0.0677671589921807
bottled water,908,0.06068301811134131
sausage,903,0.06034886052262247
citrus fruit,795,0.05313105660629553
pastry,774,0.0517275947336764
pip fruit,734,0.049054334023925686
shopping bags,712,0.04758404063356279
canned beer,702,0.04691572545612511
bottled beer,678,0.04531176903027468
whipped/sour cream,654,0.043707812604424245
newspapers,582,0.038895943326872955
frankfurter,565,0.037759807525228894
brown bread,563,0.03762614448974136
pork,555,0.037091492347791216
domestic eggs,555,0.037091492347791216
butter,527,0.03522020985096572
fruit/vegetable juice,509,0.03401724253157789
beef,508,0.03395041101383412
curd,504,0.03368308494285905
margarine,482,0.03221279155249616
coffee,473,0.03161130789280225
frozen vegetables,419,0.028002405934638777
chicken,417,0.027868742899151238
white bread,359,0.023992514870012697
cream cheese ,354,0.023658357281293858
chocolate,353,0.02359152576355009
dessert,353,0.02359152576355009
napkins,331,0.022121232373187194
hamburger meat,327,0.021853906302212123
berries,326,0.021787074784468355
UHT-milk,320,0.021386085678005748
onions,303,0.02024994987636169
salty snack,281,0.018779656485998796
waffles,277,0.018512330415023724
long life bakery product,268,0.017910846755329814
sugar,265,0.01771035220209851
butter milk,263,0.017576689166610975
ham,256,0.0171088685424046
meat,252,0.016841542471429525
frozen meals,251,0.016774710953685757
beverages,248,0.016574216400454454
specialty chocolate,239,0.015972732740760543
misc. beverages,236,0.01577223818752924
ice cream,227,0.015170754527835327
oil,223,0.014903428456860256
hard cheese,220,0.01470293390362895
grapes,216,0.01443560783265388
candy,215,0.014368776314910112
sliced cheese,210,0.014034618726191272
specialty bar,209,0.013967787208447505
hygiene articles,205,0.013700461137472432
chewing gum,180,0.012029673193878232
cat food,177,0.011829178640646929
white wine,175,0.011695515605159393
herbs,158,0.010559379803515338
red/blush wine,157,0.01049254828577157
processed cheese,152,0.01015839069705273
soft cheese,150,0.010024727661565194
flour,146,0.009757401590590123
semi-finished bread,142,0.009490075519615051
dishes,135,0.009022254895408675
pickled vegetables,134,0.008955423377664907
detergent,129,0.008621265788946068
packaged fruit/vegetables,127,0.00848760275345853
pasta,121,0.008086613646995923
baking powder,121,0.008086613646995923
pot plants,117,0.007819287576020852
canned fish,115,0.007685624540533315
seasonal products,106,0.007084140880839404
liquor,103,0.0068836463276081
frozen fish,102,0.006816814809864332
spread cheese,100,0.006683151774376796
condensed milk,98,0.0065494887388892606
cake bar,92,0.006148499632426653
mustard,92,0.006148499632426653
frozen dessert,92,0.006148499632426653
salt,89,0.005948005079195348
pet care,85,0.005680679008220277
roll products ,82,0.005480184454988973
canned vegetables,82,0.005480184454988973
turkey,80,0.005346521419501437
photo/film,79,0.005279689901757669
mayonnaise,75,0.005012363830782597
cling film/bags,74,0.004945532313038829
dish cleaner,73,0.004878700795295061
frozen potato products,72,0.0048118692775512934
specialty cheese,72,0.0048118692775512934
flower (seeds),69,0.004611374724319989
sweet spreads,68,0.004544543206576221
liquor (appetizer),67,0.004477711688832453
dog food,67,0.004477711688832453
candles,66,0.004410880171088686
finished products,64,0.00427721713560115
zwieback,60,0.004009891064626078
chocolate marshmallow,60,0.004009891064626078
Instant food products,60,0.004009891064626078
instant coffee,59,0.00394305954688231
vinegar,51,0.003408407404932166
liver loaf,50,0.003341575887188398
rice,49,0.0032747443694446303
popcorn,48,0.003207912851700862
soups,48,0.003207912851700862
sparkling wine,46,0.0030742498162133263
curd cheese,46,0.0030742498162133263
house keeping products,45,0.003007418298469558
sauces,44,0.0029405867807257902
cereals,42,0.002806923745238254
softener,41,0.0027400922274944863
spices,40,0.0026732607097507185
female sanitary products,40,0.0026732607097507185
brandy,38,0.0025395976742631824
male cosmetics,37,0.0024727661565194146
meat spreads,35,0.0023391031210318785
jam,34,0.0022722716032881106
dental care,33,0.002205440085544343
nuts/prunes,33,0.002205440085544343
rum,32,0.002138608567800575
ketchup,32,0.002138608567800575
cleaner,31,0.0020717770500568067
kitchen towels,30,0.002004945532313039
fish,29,0.0019381140145692708
light bulbs,29,0.0019381140145692708
artif. sweetener,29,0.0019381140145692708
specialty fat,29,0.0019381140145692708
snack products,27,0.001804450979081735
tea,27,0.001804450979081735
potato products,23,0.0015371249081066632
organic sausage,22,0.0014702933903628951
tidbits,22,0.0014702933903628951
nut snack,22,0.0014702933903628951
abrasive cleaner,22,0.0014702933903628951
syrup,21,0.001403461872619127
canned fruit,21,0.001403461872619127
skin care,20,0.0013366303548753592
soap,20,0.0013366303548753592
prosecco,19,0.0012697988371315912
cookware,17,0.0011361358016440553
pudding powder,17,0.0011361358016440553
bathroom cleaner,17,0.0011361358016440553
cocoa drinks,16,0.0010693042839002875
flower soil/fertilizer,16,0.0010693042839002875
cooking chocolate,15,0.0010024727661565194
ready soups,15,0.0010024727661565194
honey,13,0.0008688097306689834
cream,12,0.0008019782129252155
frozen fruits,11,0.0007351466951814476
specialty vegetables,11,0.0007351466951814476
organic products,10,0.0006683151774376796
hair spray,9,0.0006014836596939117
decalcifier,9,0.0006014836596939117
liqueur,9,0.0006014836596939117
whisky,8,0.0005346521419501437
salad dressing,6,0.00040098910646260775
toilet cleaner,5,0.0003341575887188398
frozen chicken,5,0.0003341575887188398
rubbing alcohol,5,0.0003341575887188398
make up remover,5,0.0003341575887188398
bags,4,0.00026732607097507187
baby cosmetics,3,0.00020049455323130388
preservation products,1,6.683151774376797e-05
kitchen utensil,1,6.683151774376797e-05
