feature,importance
worst texture,1.2550880416901329
radius error,1.0829653362483997
worst concave points,0.9536863642145679
worst area,0.9477559027621608
worst radius,0.9476161496027738
worst symmetry,0.9391814052053207
area error,0.9291040183411341
worst concavity,0.82315064626714
worst perimeter,0.7632200724438891
worst smoothness,0.7466248092149411
mean concave points,0.7041564891955359
mean compactness,0.6483415872660655
compactness error,0.6472265576308712
mean concavity,0.6021029069732798
mean texture,0.5526977534575253
perimeter error,0.5443332277221021
mean area,0.5410592418248749
mean radius,0.5114790108849712
mean perimeter,0.47629788561011666
concave points error,0.4437842359980614
fractal dimension error,0.4378942605795713
symmetry error,0.3604915554196104
texture error,0.2488230105562528
mean smoothness,0.21247927490644847
mean fractal dimension,0.19973173298708988
worst fractal dimension,0.18725079733765945
mean symmetry,0.16723272960824415
concavity error,0.16056252377741193
smoothness error,0.16027571018544234
worst compactness,0.05551412476313496
